Portfolio,Window,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Hit Ratio,Worst Month,Best Month
Min-Variance,Full Sample,0.0610484394308497,0.049812403111753285,0.8240606127505676,-0.17315020495175726,0.3525750341898751,0.7003367003367004,-0.07957486195528023,0.03552037206642428
Utility,Full Sample,0.062250180737648986,0.051650611182481015,0.8179996280853208,-0.17700064610576882,0.351694652574605,0.7037037037037037,-0.0809041491141961,0.03646476885166018
Blended (30% Utility / 70% Min-Var),Full Sample,0.061410767229826524,0.050334552738618754,0.8227105432895694,-0.1743033003778618,0.35232131059307403,0.7037037037037037,-0.07997364810295496,0.035803691101995036
Min-Variance,Last 10 Years,0.05530658375694353,0.05621711520265338,0.6280397638631784,-0.11136446454670768,0.4966268547337849,0.6833333333333333,-0.07957486195528023,0.03552037206642428
Utility,Last 10 Years,0.05556420178822896,0.0586281497142393,0.6066062456613962,-0.11369195097204843,0.48872590639147023,0.6666666666666666,-0.0809041491141961,0.03646476885166018
Blended (30% Utility / 70% Min-Var),Last 10 Years,0.05538646881438036,0.05690741525302304,0.6218252692912556,-0.11206302759429088,0.4942439090160907,0.675,-0.07997364810295496,0.035803691101995036
Min-Variance,Last 5 Years,0.060796459961004023,0.05725711303522562,0.7125133943778356,-0.06347044573789073,0.95787037973659,0.65,-0.03919634702655746,0.03552037206642428
Utility,Last 5 Years,0.059304435945126466,0.06055716852153893,0.6490467917294827,-0.0712678109367062,0.8321349451549094,0.6333333333333333,-0.04453759012839632,0.03646476885166018
Blended (30% Utility / 70% Min-Var),Last 5 Years,0.060352162088696426,0.058209134945859796,0.693227310906233,-0.06581262568848667,0.9170301512412458,0.6333333333333333,-0.040798719957109104,0.035803691101995036
Min-Variance,Last 3 Years,0.06472956233003124,0.05623809363253343,0.7953605721826145,-0.033654193609992,1.9233728515430213,0.6666666666666666,-0.03919634702655746,0.03203364155785789
Utility,Last 3 Years,0.06112424101433711,0.059879321841976335,0.6867853500890582,-0.03644261896637557,1.6772735535482364,0.6666666666666666,-0.04453759012839632,0.03330259141516974
Blended (30% Utility / 70% Min-Var),Last 3 Years,0.06365023012075044,0.05729791447684571,0.761811848115164,-0.03449020496989741,1.845458157650948,0.6666666666666666,-0.040798719957109104,0.03241432651505144
